N	What did Feynman believe that the Jewish people were not?
V	What is the car connected too?
V	What clothing brand is picture?
V	Which sign is experiencing some fading?
V	What color is the x?
N	Which party did the Whigs, along with others form?
V	What type of animal is in the river?
N	What codecs are supported for 360 streaming from uShare?
V	Do these animals appear to be in a zoo?
V	What is the license plate number on this motorbike?
V	Is there a toilet shown?
V	What color is the blanket on the back of the horse?
V	What airline in this plane from?
V	What color are the window panes?
V	What is the girl paying for?
V	Is the tall bottle on the table almost full?
N	In what language states is Sanskrit considered an option?
N	What was an important tool of the Sassou government?
V	What is the jet's number?
N	What countries use a red stylized A to signify pharmacy?
N	What was the name of the first building opened in 1855?
N	Some cardinals are bishop in name only, what are they called?
V	What color is the steer?
N	What year did ABC's "TGIF" end?
V	What type of vacation are you going on if you get on the boat in the background?
V	What letter is on this man's sweatshirt front?
V	What is the name of the photographer?
V	How many people are standing in the background?
V	Are the beds facing the same direction?
V	Is this an us plane?
V	Are these food items mini pizzas?
N	What concept only recognizes one Grand Lodge in a given geographical area?
V	What sport is this girl trying out?
V	What item of the model's clothing is traditionally worn by men?
V	What is color of the trolley?
V	Are these zebras talking to each other?
V	Are there any balloons on the boat?
V	Where are the fruits?
N	What treaty ended the Wars of Religion?
V	Is the person standing or sitting?
V	How many skylights can be seen?
N	The Spear Leek was the original name of what food item
V	Is the child looking at the kites?
V	What material is the purse?
V	How many men are riding horses?
N	What organization offers monetary awards for identifying primes with at least 100 million digits?
V	What is the color of the blindfold?
N	What did the French Battalion's efforts do to the PVA forces?
V	Which arm has the sweat band?
V	Is this a clear picture?
V	What is the tallest structure in this photo?
N	How many first downs did Denver have for Super Bowl 50?
N	What was the name of Beyoncé's European start that started in November 2003?
V	Is the cow deformed?
N	Egyptian embalmers replaced the bodies eyes with what
V	What is in the baby's mouth?
V	Does the woman have red hair?
V	How many apples do you see on the floor?
V	Is the water crowded with boats?
V	What is above the microwave?
V	Where is the animal looking?
N	Have studies shown DST generally increases or reduces gas consumption from cars?
V	Is there a fence near a giraffe?
N	Juvenile and adult  beroe lack what?
V	Does the child have bangs?
N	What location did John Lofting live near?
V	Does the woman have 20/20 vision?
V	Is the snow being kicked up by the skiers?
V	Is this plane flying to low to the water?
V	Are there passengers in the last bus?
V	Are there green beans on the table?
V	Is this area in the United States?
V	Are they police?
N	How many grad students were in Oklahoma in 2007?
N	What religion ranks highest in frequency of religious attendance?
V	Is the person wearing the remote correctly?
N	What Australian slang for a simpleton is also a cockatoo
V	Is there a glare?
V	Are there many people in the photo?
N	What must designers of systems that are ACL based do?
V	Is there anyone in this room?
V	Is the stop sign tall?
N	What percentage of the City of Bostons population is 25 to 44?
V	How many full grown elephants are visible?
V	What type of cheese is used on the sandwich?
N	Who captured Samaria?
N	USA courts spend half their time with cases involving what
N	What UK firm approves pharmaceutical drugs?
N	Artist Marc Chegal died in 1985 in what country was he born
N	When did Madonna sign an endorsement deal with Pepsi?
N	In computational complexity theory, what is the term given to describe the baseline abstract question needing to be solved?
V	Are the airplanes moving?
V	What number is the rider?
N	What pop group had a "Message in a Bottle"
V	Is the truck bed empty?
V	Is the hand providing shade?
V	From looking at the catchers glove, can you tell if  the where his palm of his hand is facing?
V	What color is the commode part of the toilet in the middle with the wooden seat cover?
N	In what year did Muhammad Ali  finally accept the terms of the London convention?
N	Edwin Drake sank the first of them in 1859 - what were they
V	What is hanging on the wall to the left of the windows?
V	How hairy is this man?
V	Are there any other animals in the pictures besides giraffes?
N	Where is Emba Soira located?
V	Is the man wearing a funny hat?
V	Is anyone watching their game?
V	What color is this boy's sweater?
V	Are the giraffes moving?
V	IS this giraffe in the wild?
V	Who is behind the sign?
N	If silence is golden what is silver
V	Is this a stop sign for a train?
V	What color is the duck's beak?
V	At which angle is the car right parked?
N	At what location was it first presented?
V	Is this a picture of zebras or horses?
N	What is the resistor equal to?
V	What color is the vegetable in the white bowl?
V	What airlines is this?
V	Is this a pine tree?
N	Which direction did the Rhine flow during the last cold phase?
N	How many republics made up the USSR by the end of 1922?
N	How far apart are some of the neighborhood's features?
N	Where does the next play start unless a team has just scored?
V	What brand are his socks?
V	Are they standing on a ceramic tile floor?
N	What is the commonly held founding year of BYU?
N	Where are minimal quotations commonly used?
V	Is this concrete object designed for the use it is being put to?
V	Is this girl talking?
N	How which calendar did some countries notate the date?
V	Has the pickle been eaten at all?
V	Does the animal have a long neck?
V	When do these animals sleep?
V	Is this meal dairy free?
N	Who did Picasso meet around 1906 that had also recenelty learned about Primitivism?
N	What was the pier on Burnham -on-sea used for
V	What color are the counters in the bathroom?
V	Is this woman crossing a street?
V	Does the top cat have glowing eyes?
N	How many IQ points of a students' does the Mozart effect temporarily boost?
V	What wooden object is in the pot?
N	How similar are the positions on the persistence of objects?
N	When did James come up with 'radical empiricism'?
V	Is the cat a figurine?
V	Is this person about to be hurt?
V	What style of toilet is this?
V	Are there a lot of trees?
V	How many empty glasses are on the table?
N	On what day was Alaskan Statehood finally approved by Congress?
V	Where can I catch this from?
V	What kind of tools are these?
V	What is the girl dressed in?
V	What is that orange thing in the back?
V	Are the calculators all the same size?
V	Is there a chain here?
V	What color is the inside of the bowl?
N	The recognition of a Greek state happened in what year?
